data_id,mid,display,correct_mid,done_by
encargado coordinador,coordinator manager,encargado coordinador,,
gerente coordinador,coordinator manager,gerente coordinador,,
redactor critico,copywriter,redactor critico,,
redactor publicidad,copywriter,redactor publicidad,,
redactor publicitario,copywriter,redactor publicitario,,
redactor corrector textos,copywriter editor,redactor corrector textos,,
redactor prensa escrita,copywriter editor,redactor prensa escrita,,
ejecutivo cuentas banca corporativa,corporate account executive,ejecutivo cuentas banca corporativa,,
ejecutivo cuentas corporativas,corporate account executive,ejecutivo cuentas corporativas,,
analista banca corporativa,corporate analyst,analista banca corporativa,,
asesor imagen personal corporativa,corporate consultant,asesor imagen personal corporativa,,
gerente desarrollo corporativo,corporate development manager,gerente desarrollo corporativo,,
director corporativo,corporate director,director corporativo,,
director corporativo compras,corporate director,director corporativo compras,,
director de negocio de banca corporativa,corporate director,director de negocio de banca corporativa,,
gerente corporativo,corporate manager,gerente corporativo,,
gerente responsable,corporate responsibility manager,gerente responsable,,
gestor responsable,corporate responsibility manager,gestor responsable,,
responsabilidad social corporativa,corporate responsibility manager,responsabilidad social corporativa,,
responsable corporativo,corporate responsibility manager,responsable corporativo,,
responsable identidad corporativa,corporate responsibility manager,responsable identidad corporativa,,
corresponsal,correspondent,corresponsal,,
corresponsal colaborador,correspondent,corresponsal colaborador,,
corresponsal prensa,correspondent,corresponsal prensa,,
administrativo costes,cost accountant,administrativo costes,,
controlador costes,cost controller,controlador costes,,
ingeniero de costes,cost engineer,ingeniero de costes,,
director explotaciones,cost manager,director explotaciones,,
estilista vestuario,costume designer stylist,estilista vestuario,,
jefe de vestuario,costume supervisor,jefe de vestuario,,
concejal hacienda,council,concejal hacienda,,
miembro consejo academico,council member,miembro consejo académico,,
miembro consejo social,council member,miembro consejo social,,
concejal,councillor,concejal,,
atencion de asesoramiento,counsellor,atención de asesoramiento,,
mediador social,counsellor,mediador social,,
supervisor puntos venta,counsellor supervisor,supervisor puntos venta,,
docente orientadora laboral,counsellor teacher,docente orientadora laboral,,
orientador docente,counsellor teacher,orientador docente,,
orientadora docente,counsellor teacher,orientadora docente,,
mensajero,courier,mensajero,,
coordinador curso,course coordinator,coordinador curso,,
secretario de juzgado,court clerk,secretario de juzgado,,
secretario judicial,court clerk,secretario judicial,,
encargado jefe sala,court manager,encargado jefe sala,,
gestor procesal,court manager,gestor procesal,,
oficial procurador tribunales,court officer,oficial procurador tribunales,,
monitor extraescolares,cover supervisor teacher,monitor extraescolares,,
directora de arte creativa,creative art director,directora de arte creativa,,
auxiliar creativo,creative assistant,auxiliar creativo,,
redactor publicitario creativo,creative copywriter,redactor publicitario creativo,,
creativo,creative designer,creativo,,
creativo publicidad,creative designer,creativo publicidad,,
director creativo,creative director,director creativo,,
realizador creativo,creative director,realizador creativo,,
redactor creativo,creative editor,redactor creativo,,
creador director,creator director,creador director,,
analista de riesgos de credito,credit risk analyst,analista de riesgos de crédito,,
director riesgo credito,credit risk manager,director riesgo crédito,,
tripulante,crew member,tripulante,,
enfermero de cuidados criticos,critical care nurse,enfermero de cuidados críticos,,
crupier,croupier,crupier,,
mediador cultural,cultural mediator,mediador cultural,,
gestor cultural,cultural representative,gestor cultural,,
conservador,curator,conservador,,
delegado atencion,customer care manager,delegado atencion,,
gestor atencion,customer care manager,gestor atención,,
asesor de relaciones publicas,customer relations advisor,asesor de relaciones públicas,,
asesor relaciones institucionales,customer relations advisor,asesor relaciones institucionales,,
administrativo atencion usuario,customer service administrator,administrativo atención usuario,,
administrativo con tareas de atencion al publico,customer service administrator,administrativo con tareas de atención al público,,
administrativo servicio atencion,customer service administrator,administrativo servicio atención,,
asesor atencion,customer service advisor,asesor atención,,
agente de atencion al ciudadano,customer service agent,agente de atención al ciudadano,,
gestor servicio atencion,customer service agent,gestor servicio atención,,
coordinador atencion,customer service coordinator,coordinador atención,,
jefe servicio atencion,customer service manager,jefe servicio atención,,
recepcionista administrativo atencion,customer service receptionist,recepcionista administrativo atención,,
maestro danza,dance teacher,maestro danza,,
profesor de baile,dance teacher,profesor de baile,,
profesor de danza,dance teacher,profesor de danza,,
profesor danza vientre,dancer teacher,profesor danza vientre,,
analista de datos,data analyst,analista de datos,,
grabador datos auxiliar administrativo,data entry administrator,grabador datos auxiliar administrativo,,
gestor datos,data manager,gestor datos,,
operador grabador datos,data operator,operador grabador datos,,
jefe proceso datos,data processor,jefe proceso datos,,
procesador datos,data processor,procesador datos,,
administrador bbdd,database administrator,administrador bbdd,,
administrador de bases de datos,database administrator,administrador de bases de datos,,
administrativo base datos,database administrator,administrativo base datos,,
analista de bases de datos,database analyst,analista de bases de datos,,
analista programador bases datos,database analyst,analista programador bases datos,,
coordinador base,database coordinator,coordinador base,,
gestor bases datos,database manager,gestor bases datos,,
gestor de bases de datos,database manager,gestor de bases de datos,,
responsable bases datos,database manager,responsable bases datos,,
gerente concesionario,deal manager,gerente concesionario,,
distribuidor,dealer,distribuidor,,
decano,dean,decano,,
gestor de deuda,debt manager,gestor de deuda,,
agente delegado,delegate,agente delegado,,
delegado administrativo,delegate,delegado administrativo,,
delegado alava,delegate,delegado alava,,
delegado albacete,delegate,delegado albacete,,
delegado burgos,delegate,delegado burgos,,
delegado consultor,delegate,delegado consultor,,
delegado general,delegate,delegado general,,
delegado junior,delegate,delegado junior,,
delegado producto,delegate,delegado producto,,
delegado provincial,delegate,delegado provincial,,
delegado responsable,delegate,delegado responsable,,
delegado seguros,delegate,delegado seguros,,
delegado tecnico,delegate,delegado técnico,,
examinadora delegada,delegate,examinadora delegada,,
delegado asturias cantabria,delegate executive,delegado asturias cantabria,,
delegado ejecutivo,delegate executive,delegado ejecutivo,,
delegado gran canaria,delegate executive,delegado gran canaria,,
delegado jefe de ventas,delegate sales executive,delegado jefe de ventas,,
delegado punto venta,delegate sales executive,delegado punto venta,,
delegado ventas diabetes,delegate sales executive,delegado ventas diabetes,,
delegado ventas hospitalaria,delegate sales executive,delegado ventas hospitalaria,,
delegado ventas hospitalarias,delegate sales executive,delegado ventas hospitalarias,,
delegado ventas linea,delegate sales executive,delegado ventas línea,,
jefe ventas delegado,delegate sales executive,jefe ventas delegado,,
panadero repartidor,delivery,panadero repartidor,,
repartidor cocinero,delivery,repartidor cocinero,,
auxiliar de reparto,delivery assistant,auxiliar de reparto,,
auxiliar tienda repartidor,delivery assistant,auxiliar tienda repartidor,,
ayudante repartidor,delivery assistant,ayudante repartidor,,
repartidor de publicidad,delivery director,repartidor de publicidad,,
conductor repartidor,delivery driver,conductor repartidor,,
repartidor,delivery driver,repartidor,,
administrativo repartidor,delivery officer,administrativo repartidor,,
gestor demanda,demand manager,gestor demanda,,
higienista,dental hygienist,higienista,,
dentista,dentist,dentista,,
asistente departamento calidad,department assistant,asistente departamento calidad,,
asistente departamento cuentas,department assistant,asistente departamento cuentas,,
asistente departamento operaciones,department assistant,asistente departamento operaciones,,
asistente departamento prensa,department assistant,asistente departamento prensa,,
asistente departamento ventas,department assistant,asistente departamento ventas,,
ayudante departamento calidad,department assistant,ayudante departamento calidad,,
adjunta departamento,department manager,adjunta departamento,,
administrativo departamento hh,department manager,administrativo departamento RR.HH.,,
becario departamento estructuras,department manager,becario departamento estructuras,,
departamento comercio,department manager,departamento comercio,,
departamento reclamaciones,department manager,departamento reclamaciones,,
departamento telecomunicaciones,department manager,departamento telecomunicaciones,,
director departamento laboral,department manager,director departamento laboral,,
encargado de departamento,department manager,encargado de departamento,,
encargado departamento informatico,department manager,encargado departamento informático,,
gerente departamento fiscal,department manager,gerente departamento fiscal,,
jefe departamento estructuras,department manager,jefe departamento estructuras,,
jefe departamento fiscal,department manager,jefe departamento fiscal,,
jefe departamento trafico,department manager,jefe departamento trafico,,
jefe equipo departamento,department manager,jefe equipo departamento,,
responsable de departamento,department manager,responsable de departamento,,
responsable departamento alquileres,department manager,responsable departamento alquileres,,
responsable departamento arte,department manager,responsable departamento arte,,
responsable departamento estructuras,department manager,responsable departamento estructuras,,
responsable departamento flotas,department manager,responsable departamento flotas,,
responsable departamento medios,department manager,responsable departamento medios,,
responsable departamento presupuestos,department manager,responsable departamento presupuestos,,
responsable departamento procesal,department manager,responsable departamento procesal,,
responsable departamento publicidad,department manager,responsable departamento publicidad,,
responsable departamento riesgos,department manager,responsable departamento riesgos,,
responsable departamento siniestros,department manager,responsable departamento siniestros,,
responsable departamento telecomunicaciones,department manager,responsable departamento telecomunicaciones,,
responsable departamento urbanismo,department manager,responsable departamento urbanismo,,
responsable dpto administrativo,department manager,responsable dpto. administrativo,,
responsable dpto grupos,department manager,responsable dpto. grupos,,
responsable dpto obras,department manager,responsable dpto. obras,,
responsable dpto proveedores,department manager,responsable dpto. proveedores,,
responsable dpto reservas,department manager,responsable dpto. reservas,,
diputado,deputy,diputado,,
procurador en cortes,deputy,procurador en cortes,,
adjunta consejero delegado,deputy ceo,adjunta consejero delegado,,
adjunto director planta,deputy director,adjunto director planta,,
director adjunto,deputy director,director adjunto,,
director delegado,deputy director,director delegado,,
subdirector adjunta,deputy director,subdirector adjunta,,
subdirector director,deputy director,subdirector director,,
subdirector interventor,deputy director,subdirector interventor,,
subdirector provincial,deputy director,subdirector provincial,,
adjunto responsable operaciones,deputy director operations,adjunto responsable operaciones,,
editor adjunto,deputy editor,editor adjunto,,
director ejecutivo adjunto,deputy executive director,director ejecutivo adjunto,,
director general adjunto,deputy general manager,director general adjunto,,
subdirector general,deputy general manager,subdirector general,,
jefe adjunto ventas,deputy head,jefe adjunto ventas,,
adjunto departamento,deputy head department,adjunto departamento,,
adjunto departamento calidad,deputy head department,adjunto departamento calidad,,
adjunta encargado,deputy manager,adjunta encargado,,
administrador unico gerente,deputy manager,administrador único gerente,,
gestor subdirector,deputy manager,gestor subdirector,,
ayudante proyectista,design assistant,ayudante proyectista,,
ingeniero de diseno y desarrollo,design development engineer,ingeniero de diseño y desarrollo,,
ingeniero proyectista,design engineer,ingeniero proyectista,,
encargado de diseno,design manager,encargado de diseño,,
disenador administrador,design officer,diseñador administrador,,
tecnico superior de tecnologias,design technology technician,técnico superior de tecnologías,,
disenador,designer,diseñador,,
disenador asesor,designer,diseñador asesor,,
disenador de personajes,designer,diseñador de personajes,,
disenador de videojuegos,designer,diseñador de videojuegos,,
disenador proyectista,designer,diseñador proyectista,,
proyectista,designer,proyectista,,
proyectista calculista,designer,proyectista calculista,,
delineante proyectista,designer draughtsman,delineante proyectista,,
desarrollador front end back end,designer front end developer,desarrollador front end back end,,
delineante proyectista catia,designer maker,delineante proyectista catia,,
disenador de imagen corporativa,designer maker,diseñador de imagen corporativa,,
proyectista moldes inyeccion plastico,designer maker,proyectista moldes inyección plástico,,
detective privado,detective,detective privado,,
becario desarrollador,developer,becario desarrollador,,
desarrollador,developer,desarrollador,,
desarrollador drupal,developer,desarrollador drupal,,
desarrollador erp,developer,desarrollador erp,,
desarrollador informatico,developer,desarrollador informático,,
desarrollador ios android,developer,desarrollador iOS Android,,
promotor constructora,developer,promotor constructora,,
resp desarrollo,development,resp desarrollo,,
analista de desarrollo,development analyst,analista de desarrollo,,
consultor desarrollo organizacional,development consultant,consultor desarrollo organizacional,,
consultor seleccion desarrollo,development consultant,consultor selección desarrollo,,
director de desarrollo,development director,director de desarrollo,,
director desarrollo innovacion,development director,director desarrollo innovación,,
director desarrollo tecnologico,development director,director desarrollo tecnológico,,
director seleccion desarrollo,development director,director selección desarrollo,,
ingeniero calidad desarrollo,development engineer,ingeniero calidad desarrollo,,
ingeniero de desarrollo,development engineer,ingeniero de desarrollo,,
ingeniero desarrollo hw sw,development engineer,ingeniero desarrollo hw sw,,
ingeniero desarrollos,development engineer,ingeniero desarrollos,,
encargado desarrollo,development manager,encargado desarrollo,,
gerente seleccion desarrollo,development manager,gerente selección desarrollo,,
jefe de desarrollo,development manager,jefe de desarrollo,,
responsable de desarrollo,development manager,responsable de desarrollo,,
tecnico de seleccion y desarrollo,development technician,técnico de selección y desarrollo,,
agente de desarrollo tecnologico,development technologist,agente de desarrollo tecnológico,,
desarrollo tecnologico,development technologist,desarrollo tecnológico,,
desarrollador formador,development trainer,desarrollador formador,,
tecnico de imagen y diagnostico,diagnostic technician,técnico de imagen y diagnóstico,,
tecnico diagnostico imagen,diagnostic technician,técnico diagnostico imagen,,
tecnico imagen diagnostico medicina nuclear,diagnostic technician,técnico imagen diagnostico medicina nuclear,,
tecnico superior diagnostico imagen,diagnostic technician,técnico superior diagnostico imagen,,
tecnico superior imagen diagnostico medicina nuclear,diagnostic technician,técnico superior imagen diagnostico medicina nuclear,,
tecnico superior imagen diagnostico practicas,diagnostic technician,técnico superior imagen diagnostico practicas,,
artista digital,digital artist,artista digital,,
redactor de contenidos digitales,digital content editor,redactor de contenidos digitales,,
gestor contenidos digitales,digital content manager,gestor contenidos digitales,,
coordinador digital,digital coordinator,coordinador digital,,
jefe publicidad digital,digital editor,jefe publicidad digital,,
periodista digital,digital journalist,periodista digital,,
periodista web,digital journalist,periodista web,,
profesor periodismo digital,digital journalist,profesor periodismo digital,,
venta directa,direct sales,venta directa,,
director,director,director,,
director audiovisual,director,director audiovisual,,
director audiovisuales,director,director audiovisuales,,
director banda,director,director banda,,
director cantabria,director,director cantabria,,
director congresos,director,director congresos,,
director culturales,director,director culturales,,
director ediciones,director,director ediciones,,
director flotas,director,director flotas,,
director hipotecario,director,director hipotecario,,
director idiomas,director,director idiomas,,
director incentivos,director,director incentivos,,
director ofertas,director,director ofertas,,
director realizador,director,director realizador,,
director redactor jefe,director,director redactor jefe,,
director responsable,director,director responsable,,
director social,director,director social,,
director supermercados,director,director supermercados,,
director verano,director,director verano,,
director vestuario,director,director vestuario,,
director web,director,director web,,
director academia idiomas,director academy,director academia idiomas,,
director administrativo contable,director account management,director administrativo contable,,
director cuenta unidad grandes,director accounts,director cuenta unidad grandes,,
director cuentas comerciales,director accounts,director cuentas comerciales,,
director de grandes cuentas,director accounts,director de grandes cuentas,,
director de administracion,director administration,director de administración,,
director asesor,director advisory,director asesor,,
director pyme,director assessment,director pyme,,
director banca institucional,director banking,director banca institucional,,
subdirector oficina banca,director banking,subdirector oficina banca,,
director operaciones desarrollo negocio,director business development operations,director operaciones desarrollo negocio,,
director operaciones comerciales,director business operations,director operaciones comerciales,,
director mercado capitales,director capital markets,director mercado capitales,,
director entrenador,director coach,director entrenador,,
director de comunicaciones,director communications,director de comunicaciones,,
director unidad grandes,director community,director unidad grandes,,
director consultoria,director consulting,director consultoría,,
director responsabilidad social corporativa,director corporate,director responsabilidad social corporativa,,
director banca corporaciones,director corporate banking,director banca corporaciones,,
director banca corporativa,director corporate banking,director banca corporativa,,
director cuentas banca corporativa,director corporate banking,director cuentas banca corporativa,,
director de desarrollo corporativo,director corporate development,director de desarrollo corporativo,,
responsable servicios corporativos,director corporate service,responsable servicios corporativos,,
ingeniero director obras,director engineer,ingeniero director obras,,
director departamento medio ambiente,director environment,director departamento medio ambiente,,
director ambiental,director environmental service,director ambiental,,
director medioambiente,director environmental service,director medioambiente,,
director departamento instalaciones,director facilities,director departamento instalaciones,,
director financiera administrativo,director finance administration,director financiera administrativo,,
director de instituciones,director financial institutions,director de instituciones,,
director institucional,director financial institutions,director institucional,,
director servicios financieros,director financial services,director servicios financieros,,
administrador unico director general,director general,administrador único director general,,
director director general,director general,director general,,
director general ejecutivo,director general,director general ejecutivo,,
director oficina trabajo temporal,director head office,director oficina trabajo temporal,,
adjunto director recursos humanos,director human resources,adjunto director recursos humanos,,
director de organizacion de recursos humanos,director human resources,director de organización de recursos humanos,,
director departamento recursos humanos,director human resources,director departamento recursos humanos,,
director desarrollo recursos humanos,director human resources,director desarrollo recursos humanos,,
director recursos humanos administracion,director human resources,director recursos humanos administración,,
director recursos humanos servicios generales,director human resources,director recursos humanos servicios generales,,
subdirector general recursos humanos,director human resources,subdirector general recursos humanos,,
responsable departamento tic,director ict,responsable departamento tic,,
realizador informativos,director information technology,realizador informativos,,
director de infraestructura,director infrastructure,director de infraestructura,,
director departamento estructuras,director infrastructure,director departamento estructuras,,
director infraestructuras,director infrastructure,director infraestructuras,,
instructor de actividades dirigidas,director instructor,instructor de actividades dirigidas,,
director seguros empresa,director insurance,director seguros empresa,,
director participadas,director investor,director participadas,,
director ocio libre,director leisure,director ocio libre,,
director mantenimiento,director maintenance,director mantenimiento,,
director servicios gestionados,director managed service,director servicios gestionados,,
director gerencia,director management,director gerencia,,
director nuevo negocio,director new business,director nuevo negocio,,
director desarrollo nuevos negocios,director new business development,director desarrollo nuevos negocios,,
director de enfermeria,director nursing,director de enfermería,,
director oficina delegado,director office,director oficina delegado,,
director linea,director online,director línea,,
socio director,director partner,socio director,,
socio director oficina,director partner,socio director oficina,,
director cuenta banca personal,director personal trainer,director cuenta banca personal,,
director de personal,director personal trainer,director de personal,,
entrenador personal monitor actividades dirigidas,director personal trainer,entrenador personal monitor actividades dirigidas,,
director fisioterapeuta,director physiotherapist,director fisioterapeuta,,
responsable compras planificacion,director planning,responsable compras planificación,,
director planificacion desarrollo,director planning development,director planificación desarrollo,,
director banca particulares,director private banking,director banca particulares,,
director banca privada,director private banking,director banca privada,,
director cuenta banca privada,director private banking,director cuenta banca privada,,
director equipo banca privada,director private banking,director equipo banca privada,,
director oficina banca privada,director private banking,director oficina banca privada,,
director de organizacion y procesos,director process,director de organización y procesos,,
director de procesos,director process,director de procesos,,
director compras aprovisionamiento,director procurement,director compras aprovisionamiento,,
director compras aprovisionamientos,director procurement,director compras aprovisionamientos,,
responsable compras aprovisionamientos,director procurement,responsable compras aprovisionamientos,,
director de contratacion de producto,director products,director de contratación de producto,,
vendedor de productos de micro informatica,director products,vendedor de productos de micro informática,,
director de sede,director professional,director de sede,,
director del departamento de desarrollo,director professional development,director del departamento de desarrollo,,
director servicios centrales,director professional services,director servicios centrales,,
director tecnico de proyecto,director project manager,director técnico de proyecto,,
director de relaciones publicas,director public relations,director de relaciones públicas,,
adjunto director calidad,director quality,adjunto director calidad,,
director calidad procesos,director quality,director calidad procesos,,
director de calidad y organizacion,director quality,director de calidad y organización,,
director de produccion y calidad,director quality,director de producción y calidad,,
director gestion calidad,director quality management,director gestión calidad,,
director de agencia inmobiliaria,director real estate,director de agencia inmobiliaria,,
director inmobiliario,director real estate,director inmobiliario,,
director oficina inmobiliaria,director real estate,director oficina inmobiliaria,,
director residencial,director residential,director residencial,,
director riesgos,director risk,director riesgos,,
director servicio post venta,director sales service,director servicio post venta,,
secretaria de direccion,director secretary,secretaria de dirección,,
director de seguridad,director security,director de seguridad,,
director servicio atencion,director service,director servicio atención,,
ingeniero jefe servicio,director service engineer,ingeniero jefe servicio,,
ingeniero jefe servicios tecnicos,director service engineer,ingeniero jefe servicios técnicos,,
director gestion servicios,director service management,director gestión servicios,,
director servicios informativos,director services,director servicios informativos,,
director de estrategia,director strategy,director de estrategia,,
director estrategia desarrollo negocio,director strategy business development,director estrategia desarrollo negocio,,
director de estudios,director studies,director de estudios,,
director de estudios cualitativos,director studies,director de estudios cualitativos,,
director departamento estudios,director studies,director departamento estudios,,
jefe estudios civil,director studies,jefe estudios civil,,
jefe estudios infantil,director studies,jefe estudios infantil,,
director sostenibilidad,director sustainability,director sostenibilidad,,
director de sistemas,director systems,director de sistemas,,
director de sistemas de seguridad,director systems,director de sistemas de seguridad,,
director tecnico oficina farmacia,director technical service,director técnico oficina farmacia,,
tecnico sala actividades dirigidas,director technical service,técnico sala actividades dirigidas,,
tecnico sonido directo microfonista,director technical service,técnico sonido directo microfonista,,
director terapeuta,director therapist,director terapeuta,,
director de la gestion del conocimiento,director wealth management,director de la gestión del conocimiento,,
auxiliar reparto pie,distribution assistant,auxiliar reparto pie,,
distribuidor publicidad,distributor,distribuidor publicidad,,
buzo,diver,buzo,,
instructor buceo,diving instructor,instructor buceo,,
director navarra rioja,divisional director,director navarra rioja,,
director rrpp,divisional director,director rrpp,,
facultativo,doctor,facultativo,,
licenciado en medicina,doctor,licenciado en medicina,,
medico,doctor,médico,,
investigador contratado doctor,doctoral researcher,investigador contratado doctor,,
doctorando,doctoral student,doctorando,,
doctorndo,doctoral student,doctorando,,
administrativo documentalista,document controller,administrativo documentalista,,
auxiliar documentalista,documentation assistant,auxiliar documentalista,,
peluquero canino,dog groomer,peluquero canino,,
adiestrador canino,dog trainer,adiestrador canino,,
profesor de teatro,drama teacher,profesor de teatro,,
arquitecto delineante,draughtsman,arquitecto delineante,,
arquitecto delineante proyectista,draughtsman,arquitecto delineante proyectista,,
delineante,draughtsman,delineante,,
delineante 2d,draughtsman,delineante 2d,,
delineante calculista,draughtsman,delineante calculista,,
delineante superior,draughtsman,delineante superior,,
jefe departamento dibujo,drawing office manager,jefe departamento dibujo,,
conductor,driver,conductor,,
conductor de primera,driver,conductor de primera,,
conductor vendedor,driver,conductor vendedor,,
transportista,driver,transportista,,
conductor pala cargadora,driver loader,conductor pala cargadora,,
profesor autoescuela,driving instructor,profesor autoescuela,,
administrativo departamento aduanas,duty officer,administrativo departamento aduanas,,
educador infantil,early childhood educator,educador infantil,,
educador infantil (ingles),early childhood educator,educador infantil (inglés),,
profesor infantil,early years teacher,profesor infantil,,
administrador editor,editor,administrador editor,,
editor,editor,editor,,
editor coloborador,editor,editor colaborador,,
editor locutor,editor,editor locutor,,
editor textos,editor,editor textos,,
realizador editor,editor,realizador editor,,
redactor,editor,redactor,,
redactor agencia atlas,editor,redactor agencia atlas,,
redactor belleza,editor,redactor belleza,,
redactor editor,editor,redactor editor,,
redactor espejo,editor,redactor espejo,,
redactor marca,editor,redactor marca,,
redactor suplemento,editor,redactor suplemento,,
redactor jefe,editor chief,redactor jefe,,
editor revista,editor magazine,editor revista,,
redactor / reportero,editor reporter,redactor / reportero,,
redactor locutor,editor reporter,redactor locutor,,
coordinador editor,editorial coordinator,coordinador editor,,
director editor,editorial director,director editor,,
director guionista montador,editorial director,director guionista montador,,
jefe edicion cierre,editorial manager,jefe edición cierre,,
consejero educacion,education adviser,consejero educación,,
auxiliar educativa,education assistant,auxiliar educativa,,
auxiliar educativo,education assistant,auxiliar educativo,,
educador social formador,education consultant trainer,educador social formador,,
coordinador educativos,education coordinator,coordinador educativos,,
profesor tutor educacion,education teacher,profesor tutor educación,,
educador,educator,educador,,
educador acogida,educator,educador acogida,,
educador emocional,educator,educador emocional,,
educador juvenil,educator,educador juvenil,,
pedagogo,educator,pedagogo,,
certificador eficiencia energetica,efficiency manager,certificador eficiencia energética,,
ingeniero tecnico industrial electricidad,electrical electronics engineer,ingeniero técnico industrial electricidad,,
instalador electricista,electrical fitter,instalador electricista,,
montador electricista,electrical fitter,montador electricista,,
ingeniero electricidad instrumentacion,electrical instrumentation engineer,ingeniero electricidad instrumentación,,
jefe de mantenimiento electrico,electrical maintenance engineer,jefe de mantenimiento eléctrico,,
tecnico mantenimiento maquinaria industrial,electrical maintenance technician,técnico mantenimiento maquinaria industrial,,
oficial mantenimiento electromecanico,electrical mechanical technician,oficial mantenimiento electromecánico,,
supervisor electricidad instrumentacion,electrical supervisor,supervisor electricidad instrumentación,,
tecnico montajes electricos,electrical technician,técnico montajes eléctricos,,
tecnico protecciones electricas,electrical technician,técnico protecciones eléctricas,,
auxiliar electricista,electrician,auxiliar electricista,,
electricista,electrician,electricista,,
oficial de electricidad,electrician,oficial de electricidad,,
oficial electricista,electrician,oficial electricista,,
ingeniero electricidad,electrician engineer,ingeniero electricidad,,
electricista fontanero,electrician plumber,electricista fontanero,,
tecnico mantenimiento electro mecanico,electro mechanical technician,técnico mantenimiento electro mecánico,,
desarrollo productos electronicos,electronic development engineer,desarrollo productos electrónicos,,
ingeniero desarrollo electronico,electronic development engineer,ingeniero desarrollo electrónico,,
tecnico electronico mantenimiento,electronic technician,técnico electrónico mantenimiento,,
jefe seccion electronica,electronics manager,jefe sección electrónica,,
ingeniero sistemas embebidos,embedded systems engineer,ingeniero sistemas embebidos,,
medico atencion urgencias,emergency care,medico atención urgencias,,
coordinador emergencias,emergency manager,coordinador emergencias,,
medico urgencias domiciliarias,emergency medical,medico urgencias domiciliarias,,
tecnico emergencias sanitarias conductor,emergency medical technician,técnico emergencias sanitarias conductor,,
tecnico emergencias sanitarias practicas,emergency medical technician,técnico emergencias sanitarias practicas,,
medico de urgencias hospitalarias,emergency medicine,médico de urgencias hospitalarias,,
pediatra urgencias,emergency medicine,pediatra urgencias,,
enfermero de urgencias y emergencias,emergency nurse,enfermero de urgencias y emergencias,,
enfermero quirofano urgencias,emergency nurse,enfermero quirófano urgencias,,
enfermero servicio urgencias,emergency nurse,enfermero servicio urgencias,,
enfermero urgencias,emergency nurse,enfermero urgencias,,
medico servicio urgencias,emergency physician,medico servicio urgencias,,
medico urgencias emergencias,emergency physician,medico urgencias emergencias,,
empleada,employee,empleada,,
empleado,employee,empleado,,
empleado ventanilla,employee,empleado ventanilla,,
empleado encargado,employee manager,empleado encargado,,
responsable relaciones laborales,employee relations manager,responsable relaciones laborales,,
consultor laboral,employment consultant,consultor laboral,,
coordinador de empleo,employment coordinator,coordinador de empleo,,
coordinardor de empleo docente,employment coordinator,coordinador de empleo docente,,
orientador empleo,employment counsel,orientador empleo,,
asesor energetico,energy consultant,asesor energético,,
ingenierio,engineer,ingeniero,,
ingeniero,engineer,ingeniero,,
ingeniero conocimiento,engineer,ingeniero conocimiento,,
ingeniero de minas,engineer,ingeniero de minas,,
ingeniero delegado,engineer,ingeniero delegado,,
ingeniero equipos,engineer,ingeniero equipos,,
ingeniero moldes,engineer,ingeniero moldes,,
ingeniero ofertas,engineer,ingeniero ofertas,,
ingeniero paisajista,engineer,ingeniero paisajista,,
ingeniero presupuestos,engineer,ingeniero presupuestos,,
ingeniero supervisor,engineer supervisor,ingeniero supervisor,,
ingeniero administrador,engineering administrator,ingeniero administrador,,
ingeniero administrativo,engineering administrator,ingeniero administrativo,,
coordinador ingenieria,engineering coordinator,coordinador ingeniería,,
ingeniero coordinador,engineering coordinator,ingeniero coordinador,,
ingeniero departamento estructuras,engineering department manager,ingeniero departamento estructuras,,
responsable departamento ingenieria,engineering department manager,responsable departamento ingeniería,,
ingeniero gestor,engineering manager,ingeniero gestor,,
ingeniero licitaciones,engineering superintendent,ingeniero licitaciones,,
tecnico ingenieria,engineering technical manager,técnico ingeniería,,
tecnico ingenieria procesos,engineering technical manager,técnico ingeniería procesos,,
traductor jurado en ingles,english interpreter translator,traductor jurado en inglés,,
director profesor ingles,english teacher,director profesor ingles,,
maestro infantil ingles,english teacher,maestro infantil ingles,,
maestro lengua inglesa,english teacher,maestro lengua inglesa,,
profesor de ingles,english teacher,profesor de inglés,,
traductor ingles,english translator,traductor ingles,,
traductor jurado ingles,english translator,traductor jurado ingles,,
profesor particular ingles,english tutor,profesor particular ingles,,
tutor ingles,english tutor,tutor ingles,,
animadora lectura,entertainer,animadora lectura,,
emprendedor,entrepreneur,emprendedor,,
empresario emprendedor,entrepreneur,empresario emprendedor,,
empresario hostelero,entrepreneur,empresario hostelero,,
director calidad medio ambiente prl,environment health safety manager,director calidad medio ambiente prl,,
responsable calidad medio ambiente,environment health safety manager,responsable calidad medio ambiente,,
responsable de calidad y medioambiente,environment health safety manager,responsable de calidad y medioambiente,,
gestor medio ambiente,environment manager,gestor medio ambiente,,
jefe departamento medio ambiente,environment manager,jefe departamento medio ambiente,,
responsable de medio ambiente,environment manager,responsable de medio ambiente,,
responsable tecnico medio ambiente,environment manager,responsable técnico medio ambiente,,
asesor ambiental,environmental advisor,asesor ambiental,,
asesor medioambiental,environmental advisor,asesor medioambiental,,
consultor ambiental,environmental consultant,consultor ambiental,,
consultor medio ambiente,environmental consultant,consultor medio ambiente,,
consultor medio ambiente calidad,environmental consultant,consultor medio ambiente calidad,,
consultor medioambiental,environmental consultant,consultor medioambiental,,
coordinador area medio ambiente,environmental coordinator,coordinador área medio ambiente,,
