source,target
gestor atencion,customer care manager
asesor de relaciones publicas,customer relations advisor
asesor relaciones institucionales,customer relations advisor
administrativo atencion usuario,customer service administrator
administrativo con tareas de atencion al publico,customer service administrator
administrativo servicio atencion,customer service administrator
asesor atencion,customer service advisor
agente de atencion al ciudadano,customer service agent
gestor servicio atencion,customer service agent
coordinador atencion,customer service coordinator
jefe servicio atencion,customer service manager
recepcionista administrativo atencion,customer service receptionist
maestro danza,dance teacher
profesor de baile,dance teacher
profesor de danza,dance teacher
profesor danza vientre,dancer teacher
analista de datos,data analyst
grabador datos auxiliar administrativo,data entry administrator
gestor datos,data manager
operador grabador datos,data operator
jefe proceso datos,data processor
procesador datos,data processor
administrador bbdd,database administrator
administrador de bases de datos,database administrator
administrativo base datos,database administrator
analista de bases de datos,database analyst
analista programador bases datos,database analyst
coordinador base,database coordinator
gestor bases datos,database manager
gestor de bases de datos,database manager
responsable bases datos,database manager
gerente concesionario,deal manager
distribuidor,dealer
decano,dean
gestor de deuda,debt manager
agente delegado,delegate
delegado administrativo,delegate
delegado alava,delegate
delegado albacete,delegate
delegado burgos,delegate
delegado consultor,delegate
delegado general,delegate
delegado junior,delegate
delegado producto,delegate
delegado provincial,delegate
delegado responsable,delegate
delegado seguros,delegate
delegado tecnico,delegate
examinadora delegada,delegate
delegado asturias cantabria,delegate executive
delegado ejecutivo,delegate executive
delegado gran canaria,delegate executive
delegado jefe de ventas,delegate sales executive
delegado punto venta,delegate sales executive
delegado ventas diabetes,delegate sales executive
delegado ventas hospitalaria,delegate sales executive
delegado ventas hospitalarias,delegate sales executive
delegado ventas linea,delegate sales executive
jefe ventas delegado,delegate sales executive
panadero repartidor,delivery
repartidor cocinero,delivery
auxiliar de reparto,delivery assistant
auxiliar tienda repartidor,delivery assistant
ayudante repartidor,delivery assistant
repartidor de publicidad,delivery director
conductor repartidor,delivery driver
repartidor,delivery driver
administrativo repartidor,delivery officer
gestor demanda,demand manager
higienista,dental hygienist
dentista,dentist
asistente departamento calidad,department assistant
asistente departamento cuentas,department assistant
asistente departamento operaciones,department assistant
asistente departamento prensa,department assistant
asistente departamento ventas,department assistant
ayudante departamento calidad,department assistant
adjunta departamento,department manager
administrativo departamento hh,department manager
becario departamento estructuras,department manager
departamento comercio,department manager
departamento reclamaciones,department manager
departamento telecomunicaciones,department manager
director departamento laboral,department manager
encargado de departamento,department manager
encargado departamento informatico,department manager
gerente departamento fiscal,department manager
jefe departamento estructuras,department manager
jefe departamento fiscal,department manager
jefe departamento trafico,department manager
jefe equipo departamento,department manager
responsable de departamento,department manager
responsable departamento alquileres,department manager
responsable departamento arte,department manager
responsable departamento estructuras,department manager
responsable departamento flotas,department manager
responsable departamento medios,department manager
responsable departamento presupuestos,department manager
responsable departamento procesal,department manager
responsable departamento publicidad,department manager
responsable departamento riesgos,department manager
responsable departamento siniestros,department manager
responsable departamento telecomunicaciones,department manager
responsable departamento urbanismo,department manager
responsable dpto administrativo,department manager
responsable dpto grupos,department manager
responsable dpto obras,department manager
responsable dpto proveedores,department manager
responsable dpto reservas,department manager
diputado,deputy
procurador en cortes,deputy
adjunta consejero delegado,deputy ceo
adjunto director planta,deputy director
director adjunto,deputy director
director delegado,deputy director
subdirector adjunta,deputy director
subdirector director,deputy director
subdirector interventor,deputy director
subdirector provincial,deputy director
adjunto responsable operaciones,deputy director operations
editor adjunto,deputy editor
director ejecutivo adjunto,deputy executive director
director general adjunto,deputy general manager
subdirector general,deputy general manager
jefe adjunto ventas,deputy head
adjunto departamento,deputy head department
adjunto departamento calidad,deputy head department
adjunta encargado,deputy manager
administrador unico gerente,deputy manager
gestor subdirector,deputy manager
ayudante proyectista,design assistant
ingeniero de diseno y desarrollo,design development engineer
ingeniero proyectista,design engineer
encargado de diseno,design manager
disenador administrador,design officer
tecnico superior de tecnologias,design technology technician
disenador,designer
disenador asesor,designer
disenador de personajes,designer
disenador de videojuegos,designer
disenador proyectista,designer
proyectista,designer
proyectista calculista,designer
delineante proyectista,designer draughtsman
desarrollador front end back end,designer front end developer
delineante proyectista catia,designer maker
disenador de imagen corporativa,designer maker
proyectista moldes inyeccion plastico,designer maker
detective privado,detective
becario desarrollador,developer
desarrollador,developer
desarrollador drupal,developer
desarrollador erp,developer
desarrollador informatico,developer
desarrollador ios android,developer
promotor constructora,developer
resp desarrollo,development
analista de desarrollo,development analyst
consultor desarrollo organizacional,development consultant
consultor seleccion desarrollo,development consultant
director de desarrollo,development director
director desarrollo innovacion,development director
director desarrollo tecnologico,development director
director seleccion desarrollo,development director
ingeniero calidad desarrollo,development engineer
ingeniero de desarrollo,development engineer
ingeniero desarrollo hw sw,development engineer
ingeniero desarrollos,development engineer
encargado desarrollo,development manager
gerente seleccion desarrollo,development manager
jefe de desarrollo,development manager
responsable de desarrollo,development manager
tecnico de seleccion y desarrollo,development technician
agente de desarrollo tecnologico,development technologist
desarrollo tecnologico,development technologist
desarrollador formador,development trainer
tecnico de imagen y diagnostico,diagnostic technician
tecnico diagnostico imagen,diagnostic technician
tecnico imagen diagnostico medicina nuclear,diagnostic technician
tecnico superior diagnostico imagen,diagnostic technician
tecnico superior imagen diagnostico medicina nuclear,diagnostic technician
tecnico superior imagen diagnostico practicas,diagnostic technician
artista digital,digital artist
redactor de contenidos digitales,digital content editor
gestor contenidos digitales,digital content manager
coordinador digital,digital coordinator
jefe publicidad digital,digital editor
periodista digital,digital journalist
periodista web,digital journalist
profesor periodismo digital,digital journalist
venta directa,direct sales
director,director
director audiovisual,director
director audiovisuales,director
director banda,director
director cantabria,director
director congresos,director
director culturales,director
director ediciones,director
director flotas,director
director hipotecario,director
director idiomas,director
director incentivos,director
director ofertas,director
director realizador,director
director redactor jefe,director
director responsable,director
director social,director
director supermercados,director
director verano,director
director vestuario,director
director web,director
director academia idiomas,director academy
director administrativo contable,director account management
director cuenta unidad grandes,director accounts
director cuentas comerciales,director accounts
director de grandes cuentas,director accounts
director de administracion,director administration
director asesor,director advisory
director pyme,director assessment
director banca institucional,director banking
subdirector oficina banca,director banking
director operaciones desarrollo negocio,director business development operations
director operaciones comerciales,director business operations
director mercado capitales,director capital markets
director entrenador,director coach
director de comunicaciones,director communications
director unidad grandes,director community
director consultoria,director consulting
director responsabilidad social corporativa,director corporate
director banca corporaciones,director corporate banking
director banca corporativa,director corporate banking
director cuentas banca corporativa,director corporate banking
director de desarrollo corporativo,director corporate development
responsable servicios corporativos,director corporate service
ingeniero director obras,director engineer
director departamento medio ambiente,director environment
director ambiental,director environmental service
director medioambiente,director environmental service
director departamento instalaciones,director facilities
director financiera administrativo,director finance administration
director de instituciones,director financial institutions
director institucional,director financial institutions
director servicios financieros,director financial services
administrador unico director general,director general
director director general,director general
director general ejecutivo,director general
director oficina trabajo temporal,director head office
adjunto director recursos humanos,director human resources
director de organizacion de recursos humanos,director human resources
director departamento recursos humanos,director human resources
director desarrollo recursos humanos,director human resources
director recursos humanos administracion,director human resources
director recursos humanos servicios generales,director human resources
subdirector general recursos humanos,director human resources
responsable departamento tic,director ict
realizador informativos,director information technology
director de infraestructura,director infrastructure
director departamento estructuras,director infrastructure
director infraestructuras,director infrastructure
instructor de actividades dirigidas,director instructor
director seguros empresa,director insurance
director participadas,director investor
director ocio libre,director leisure
director mantenimiento,director maintenance
director servicios gestionados,director managed service
director gerencia,director management
director nuevo negocio,director new business
director desarrollo nuevos negocios,director new business development
director de enfermeria,director nursing
director oficina delegado,director office
director linea,director online
socio director,director partner
socio director oficina,director partner
director cuenta banca personal,director personal trainer
director de personal,director personal trainer
entrenador personal monitor actividades dirigidas,director personal trainer
director fisioterapeuta,director physiotherapist
responsable compras planificacion,director planning
director planificacion desarrollo,director planning development
director banca particulares,director private banking
director banca privada,director private banking
director cuenta banca privada,director private banking
director equipo banca privada,director private banking
director oficina banca privada,director private banking
director de organizacion y procesos,director process
director de procesos,director process
director compras aprovisionamiento,director procurement
director compras aprovisionamientos,director procurement
responsable compras aprovisionamientos,director procurement
director de contratacion de producto,director products
vendedor de productos de micro informatica,director products
director de sede,director professional
director del departamento de desarrollo,director professional development
director servicios centrales,director professional services
director tecnico de proyecto,director project manager
director de relaciones publicas,director public relations
adjunto director calidad,director quality
director calidad procesos,director quality
director de calidad y organizacion,director quality
director de produccion y calidad,director quality
director gestion calidad,director quality management
director de agencia inmobiliaria,director real estate
director inmobiliario,director real estate
director oficina inmobiliaria,director real estate
director residencial,director residential
director riesgos,director risk
director servicio post venta,director sales service
secretaria de direccion,director secretary
director de seguridad,director security
director servicio atencion,director service
ingeniero jefe servicio,director service engineer
ingeniero jefe servicios tecnicos,director service engineer
director gestion servicios,director service management
director servicios informativos,director services
director de estrategia,director strategy
director estrategia desarrollo negocio,director strategy business development
director de estudios,director studies
director de estudios cualitativos,director studies
director departamento estudios,director studies
jefe estudios civil,director studies
jefe estudios infantil,director studies
director sostenibilidad,director sustainability
director de sistemas,director systems
director de sistemas de seguridad,director systems
director tecnico oficina farmacia,director technical service
tecnico sala actividades dirigidas,director technical service
tecnico sonido directo microfonista,director technical service
director terapeuta,director therapist
director de la gestion del conocimiento,director wealth management
auxiliar reparto pie,distribution assistant
distribuidor publicidad,distributor
buzo,diver
instructor buceo,diving instructor
director navarra rioja,divisional director
director rrpp,divisional director
facultativo,doctor
licenciado en medicina,doctor
medico,doctor
investigador contratado doctor,doctoral researcher
doctorando,doctoral student
doctorndo,doctoral student
administrativo documentalista,document controller
auxiliar documentalista,documentation assistant
peluquero canino,dog groomer
adiestrador canino,dog trainer
profesor de teatro,drama teacher
arquitecto delineante,draughtsman
arquitecto delineante proyectista,draughtsman
delineante,draughtsman
delineante 2d,draughtsman
delineante calculista,draughtsman
delineante superior,draughtsman
jefe departamento dibujo,drawing office manager
conductor,driver
conductor de primera,driver
conductor vendedor,driver
transportista,driver
conductor pala cargadora,driver loader
profesor autoescuela,driving instructor
administrativo departamento aduanas,duty officer
educador infantil,early childhood educator
educador infantil (ingles),early childhood educator
profesor infantil,early years teacher
administrador editor,editor
editor,editor
editor coloborador,editor
editor locutor,editor
editor textos,editor
realizador editor,editor
redactor,editor
redactor agencia atlas,editor
redactor belleza,editor
redactor editor,editor
redactor espejo,editor
redactor marca,editor
redactor suplemento,editor
redactor jefe,editor chief
editor revista,editor magazine
redactor / reportero,editor reporter
redactor locutor,editor reporter
coordinador editor,editorial coordinator
director editor,editorial director
director guionista montador,editorial director
jefe edicion cierre,editorial manager
consejero educacion,education adviser
auxiliar educativa,education assistant
auxiliar educativo,education assistant
educador social formador,education consultant trainer
coordinador educativos,education coordinator
profesor tutor educacion,education teacher
educador,educator
educador acogida,educator
educador emocional,educator
educador juvenil,educator
pedagogo,educator
certificador eficiencia energetica,efficiency manager
ingeniero tecnico industrial electricidad,electrical electronics engineer
instalador electricista,electrical fitter
montador electricista,electrical fitter
ingeniero electricidad instrumentacion,electrical instrumentation engineer
jefe de mantenimiento electrico,electrical maintenance engineer
tecnico mantenimiento maquinaria industrial,electrical maintenance technician
oficial mantenimiento electromecanico,electrical mechanical technician
supervisor electricidad instrumentacion,electrical supervisor
tecnico montajes electricos,electrical technician
tecnico protecciones electricas,electrical technician
auxiliar electricista,electrician
electricista,electrician
oficial de electricidad,electrician
oficial electricista,electrician
ingeniero electricidad,electrician engineer
electricista fontanero,electrician plumber
tecnico mantenimiento electro mecanico,electro mechanical technician
desarrollo productos electronicos,electronic development engineer
ingeniero desarrollo electronico,electronic development engineer
tecnico electronico mantenimiento,electronic technician
jefe seccion electronica,electronics manager
ingeniero sistemas embebidos,embedded systems engineer
medico atencion urgencias,emergency care
coordinador emergencias,emergency manager
medico urgencias domiciliarias,emergency medical
tecnico emergencias sanitarias conductor,emergency medical technician
tecnico emergencias sanitarias practicas,emergency medical technician
medico de urgencias hospitalarias,emergency medicine
pediatra urgencias,emergency medicine
enfermero de urgencias y emergencias,emergency nurse
enfermero quirofano urgencias,emergency nurse
enfermero servicio urgencias,emergency nurse
enfermero urgencias,emergency nurse
medico servicio urgencias,emergency physician
medico urgencias emergencias,emergency physician
empleada,employee
empleado,employee
empleado ventanilla,employee
empleado encargado,employee manager
responsable relaciones laborales,employee relations manager
consultor laboral,employment consultant
coordinador de empleo,employment coordinator
coordinardor de empleo docente,employment coordinator
orientador empleo,employment counsel
asesor energetico,energy consultant
ingenierio,engineer
ingeniero,engineer
ingeniero conocimiento,engineer
ingeniero de minas,engineer
ingeniero delegado,engineer
ingeniero equipos,engineer
ingeniero moldes,engineer
ingeniero ofertas,engineer
ingeniero paisajista,engineer
ingeniero presupuestos,engineer
ingeniero supervisor,engineer supervisor
ingeniero administrador,engineering administrator
ingeniero administrativo,engineering administrator
coordinador ingenieria,engineering coordinator
ingeniero coordinador,engineering coordinator
ingeniero departamento estructuras,engineering department manager
responsable departamento ingenieria,engineering department manager
ingeniero gestor,engineering manager
ingeniero licitaciones,engineering superintendent
tecnico ingenieria,engineering technical manager
tecnico ingenieria procesos,engineering technical manager
traductor jurado en ingles,english interpreter translator
director profesor ingles,english teacher
maestro infantil ingles,english teacher
maestro lengua inglesa,english teacher
profesor de ingles,english teacher
traductor ingles,english translator
traductor jurado ingles,english translator
profesor particular ingles,english tutor
tutor ingles,english tutor
animadora lectura,entertainer
emprendedor,entrepreneur
empresario emprendedor,entrepreneur
empresario hostelero,entrepreneur
director calidad medio ambiente prl,environment health safety manager
responsable calidad medio ambiente,environment health safety manager
responsable de calidad y medioambiente,environment health safety manager
gestor medio ambiente,environment manager
jefe departamento medio ambiente,environment manager
responsable de medio ambiente,environment manager
responsable tecnico medio ambiente,environment manager
asesor ambiental,environmental advisor
asesor medioambiental,environmental advisor
consultor ambiental,environmental consultant
consultor medio ambiente,environmental consultant
consultor medio ambiente calidad,environmental consultant
consultor medioambiental,environmental consultant
coordinador area medio ambiente,environmental coordinator
coordinador medio ambiente,environmental coordinator
ingeniero ambiental,environmental engineer
ingeniero de medio ambiente,environmental engineer
gestor ambiental,environmental manager
gestor medioambiental,environmental manager
tecnico ambiental,environmental technician
tecnico de medioambiente,environmental technician
tecnico medio ambiente,environmental technician
tecnico medioambiental,environmental technician
tecnico medioambiental practicas,environmental technician
tecnico prevencion medioambiente,environmental technician
tecnico sanidad ambiental,environmental technician
tecnico seguridad salud medio ambiente,environmental technician
agente de igualdad,equality manager
tecnico igualdad,equality officer
ingeniero equipos rotativos,equipment engineer
gestor de equipos,equipment manager
operador equipos,equipment operator
operador equipos audiovisuales,equipment operator
tecnico de mantenimiento de equipos informaticos,equipment technician
tecnico equipos,equipment technician
tecnico equipos informaticos,equipment technician
tecnico mantenimiento equipos,equipment technician
tecnico superior mantenimiento equipos industriales,equipment technician
administrador de fincas urbanas,estate officer
administrativo fincas,estates administrator
coordinador de programas europeos,european coordinator
coordinador proyecto europeo,european coordinator
tecnico programas europeos,european programm manager
evaluador calidad,evaluator
evaluadora externa,evaluator
medico evaluador,evaluator
perito tasador autos,evaluator
auxiliar eventos,event assistant
coordinador de eventos,event coordinator
director de eventos,event director
responsable de eventos,event manager
coordinador de eventos culturales,events coordinator
responsable coordinador eventos,events coordinator
organizadora eventos practicas,events organiser
productora eventos,events producer
examinadora,examiner
medico forense,examiner
directivo,executive
ejecutivo,executive
ejecutivo corredores,executive
ejecutivo de banca,executive
administrador ejecutivo,executive administrator
asesor ejecutivo,executive advisor
asistente personal director ejecutivo,executive assistant director
asistente ejecutivo director general,executive assistant general manager
coordinador ejecutivo,executive coordinator
coordinadora ejecutiva,executive coordinator
director creativo ejecutivo,executive creative director
directivo ejecutivo,executive director
director ejecutivo,executive director
editor ejecutivo,executive editor
gerente ejecutivo,executive manager
ejecutivo administrativo,executive officer
oficial ejecutivo,executive officer
asistente personal ejecutivo,executive personal assistant
coach ejecutivo personal,executive personal assistant
productor ejecutivo,executive producer
secretario ejecutiva,executive secretary
coordinador de exposiciones,exhibition coordinator
director exposiciones,exhibition director
perito automocion,expert
asesor experto,expert advisor
asistente comercio exterior,export assistant
director exportaciones,export director
ejecutivo exportaciones,export executive
gestor comercio exterior,export executive
gerente de exportaciones,export manager
responsable departamento comercio exterior,export manager
responsable exportaciones,export manager
auditor externo,external auditor
abogado colaborador externo,external collaborator
colaborador externo,external collaborator
asesor externo,external consultant
consultor externo,external consultant
auxiliar instalaciones,facilities assistant
coordinador de instalaciones,facilities coordinator
responsable departamento instalaciones,facilities coordinator
responsable nuevas instalaciones,facilities coordinator
ingeniero de instalaciones,facilities engineer
ingeniero departamento instalaciones,facilities engineer
oficial mantenimiento instalaciones,facilities maintenance manager
responsable de instalaciones de mantenimiento,facilities maintenance manager
responsable mantenimiento instalaciones,facilities maintenance manager
rsponsable de mantenimiento e instalaciones,facilities maintenance manager
director de instalaciones,facilities manager
encargado de instalaciones,facilities manager
gerente de instalaciones,facilities manager
oficial instalaciones,facilities officer
responsable dpto instalaciones,facilities officer
operario instalaciones,facilities operations manager
operario instalaciones deportivas,facilities operations manager
supervisor de instalaciones,facilities supervisor
supervisor instalaciones radiactivas,facilities supervisor
tecnico instalaciones,facilities technician
tecnico instalaciones deportivas,facilities technician
gestor instalaciones,facility manager
jefe de instalaciones,facility manager
adjunto jefe fabrica,factory manager
director de fabrica,factory manager
encargado de fabrica,factory manager
responsable fabrica,factory manager
jefe de fabrica,factory operative
operario de fabrica,factory worker
abogado de familia,family lawyer
terapeuta familiar pareja,family therapist
agricultor,farmer
ganadero,farmer
granjero,farmer
asistente moda,fashion assistant
asesor moda,fashion consultant
disenador de moda,fashion designer
redactor moda,fashion editor
redactor moda belleza,fashion editor
estilista moda,fashion stylist
profesor becario,fellow
supervisor de campo,field supervisor
tecnico servicios campo,field technician
director de cine,film director
auxiliar administrativo departamento financiero,finance administration assistant
auxiliar administrativo financiero,finance administration assistant
jefe administracion financiero,finance administration manager
responsable dpto administracion finanzas,finance administration manager
analista finanzas,finance analyst
asistente finanzas,finance assistant
auxiliar departamento financiero,finance assistant
consultor finanzas,finance consultant
director financiera corporativa,finance director
responsable de finanzas,finance manager
administrativo departamento economico financiero,financial administrator
administrativo departamento fiscal,financial administrator
administrativo dpto finanzas,financial administrator
asesor financiero,financial advisor
consejero financiero,financial advisor
asistente departamento fiscal,financial assistant
asociada departamento fiscal,financial associate
consultor financiero,financial consultant
secretario interventora,financial controller secretary
ejecutivo financiero,financial executive
responsable dpto administracion financiero,financial management
administrador financiero,financial manager
gestor activos financieros,financial manager
gestor financiero,financial manager
responsable servicios financieros,financial services
bombero,fire fighter
auxiliar primera,first assistant
primer asistente,first assistant
oficial de primera,first officer
oficial primera conductor,first officer
coordinador de flotas,fleet coordinator
jefe de flota,fleet engineer
responsable de flotas,fleet manager
auxiliar de vuelo,flight attendant
azafato cajas atencion,flight attendant
tripulante servicio bordo,flight attendant
comandante vuelo,flight commander
ingeniero ensayos vuelo,flight engineer
instructor vuelo,flight instructor
director de suelo,floor manager
jefe plantas,floor manager
oficial planta,floor manager
regidor,floor manager
florista,florist
asistente alimentos bebidas,food assistant
gerente alimentos bebidas,food manager
tecnico calidad seguridad alimentaria,food safety officer
supervisor alimentos bebidas,food supervisor
manipulador alimentos,food worker
entrenador equipo futbol,football coach
disenador de calzado,footwear designer
promotor comercio exterior,foreign exchange trader
responsable dpto comercio exterior,foreign exchange trader
docente lengua extranjera,foreign language teacher
maestro lengua extranjera,foreign language teacher
profesor de lengua extranjera,foreign language teacher
profesor segunda lengua,foreign language teacher
perito forense,forensic analyst
informatico forense,forensic technician
ingeniero forestal,forest engineer
carretillero,forklift driver
conductor de carretilla elevadora,forklift driver
operario carretilla elevadora,forklift operator
operario carretillas elevadoras,forklift operator
fundador,founder
consejero delegado fundador,founder ceo
director creativo / fundador,founder creative director
dependiente secretario,founder/secretary
secretario coordinador,founder/secretary
secretario fundador,founder/secretary
secretario telefonista,founder/secretary
director fundador,founding director
socio fundador,founding partner
director general socia fundador,founding partner ceo
gerente socia fundador,founding partner managing director
encargado franquicia,franchise manager
gerente franquicias,franchise manager
gestor franquicias,franchise manager
analista de fraude,fraud analyst
animador libre,freelance animator
monitor director libre,freelance director
educador monitor libre,freelance educator
educador monitor ocio libre,freelance educator
tecnico ocio libre,freelance technician
formadora externa,freelance trainer
desarrollador web freelance,freelance web developer
redactor contenidos freelance,freelance writer
redactor externo,freelance writer
desarrollador front end,front end developer
agente oficina,front office agent
desarrollador front,frontend developer
desarrollador frontend,frontend developer
desarrollador frontend backend,frontend developer
desarrollador web front end,frontend web developer
ayudante realizacion,fulfilment manager
analista funcional,functional analyst
analista funcional ee,functional analyst
analista funcional jefe de equipo,functional analyst
analista funciones,functional analyst
jefe analista funcional,functional analyst
consultor funcional,functional consultant
responsable funcional,functional manager
gestor de fondos,fund manager
captador de fondos,fundraiser
tecnico captacion fondos,fundraising manager
conservador restaurador,furniture restorer
restaurador,furniture restorer
restauradora muebles,furniture restorer
desarrollador videojuegos,games developer
jardinero mantenimiento,garden maintenance
jardinero,gardener
maestro jardinero,gardener
oficial jardinero,gardener
contabilidad general,general accounting manager
contable general,general accounting manager
ayudante general,general assistant
consejero general,general counsel
secretario consejero,general counsel secretary
encargado general,general manager
gerente general,general manager
jefe servicio asuntos generales,general manager
director general desarrollo negocio,general manager business development
administrativo servicios generales,general manager service
director general servicios,general manager service
gestor servicios generales,general manager service
enfermero general,general nurse
operario general,general operative
adjunto cirugia general aparato digestivo,general surgeon
cirujano general,general surgeon
enfermero cirugia,general surgery
facultativo cirugia general aparato digestivo,general surgery
medico adjunto cirugia general aparato digestivo,general surgery
medico interno residente cirugia general aparato digestivo,general surgery resident
medico residente cirugia general,general surgery resident
medico residente cirugia general aparato digestivo,general surgery resident
geologo,geologist
responsable subvenciones,grants manager
disenador grafico desarrollador web,graphic designer web developer
disenador grafico producto,graphics designer
disenador grafico publicidad,graphics designer
personal de tierra,ground staff
jefe terreno,ground worker
director de grupos,group director
jefe de grupo,group leader
escolta,guard service
profesor contratado doctor,guest professor
coordinador invitados,guest relations coordinator
agente de servicios aeroportuarios,guest services agent
ponente invitado,guest speaker
docente invitado,guest teacher
profesor de guitarra,guitar teacher
ayudante peluqueria estetica,hair stylist
estilista peluqueria,hair stylist
peluqueria estetica,hair stylist
oficiala peluqueria,hairdresser
peluquero,hairdresser
barbero,hairdresser barber
peluquero maquillador,hairdresser makeup artist
peluquero estilista,hairdresser stylist
esteticista terapeuta,hairdresser therapist
manipulador,handler
desarrollador hardware,hardware development engineer
ingeniero desarrollo de hardware,hardware development engineer
ingeniero desarrollo hardware,hardware development engineer
gerente contable,head accounting
administrativo dpto contabilidad,head accounting department
jefe del departamento de contabilidad,head accounting department
jefe departamento contable,head accounting department
jefe departamento fiscal contable,head accounting department
responsable dpto administracion contabilidad,head accounting department
responsable dpto contable,head accounting department
responsable dpto contable fiscal,head accounting department
administrador jefe,head admin
jefe de barra,head bartender
director jefe cocina,head chef
jefe cocina restaurante,head chef restaurant
trabajadora social servicios sociales comunitarios,head community service
jefe sociedad,head company
jefe informatico,head computing
consultor relaciones laborales,head consultant relations
jefe departamento,head department
jefe departamento aduanas,head department
jefe departamento atencion,head department
jefe departamento reservas,head department
jefe departamento tic,head department
gestion de contenidos digitales,head digital content
responsable contenidos digitales,head digital content
consejero economico,head economics
jefe del departamento de ingenieria,head engineering department
jefe departamento instalaciones,head facilities
jefe de seguridad de salud,head health safety
jefe de recursos humanos,head human resources
director indirecto,head indirect
responsable del departamento de gestion,head information management
responsable de servicios,head information services
jefe departamento infraestructuras,head infrastructure
responsable departamento seguros,head insurance
jefe de equipo de auditoria interna,head internal audit
jefe inversiones,head investments
jefe servicios juridicos,head legal service
gestor contencioso,head litigation
jefe obras mantenimiento,head maintenance
jefe departamento gestion,head management
responsable gestion,head management
tecnico superior de gestion de servicios comunes,head management services
jefe unidad gestion,head manager
jefe estudios mercado,head market research
jefe servicio medicina nuclear,head medical service
responsable redes sociales,head networks
enfermero jefe,head nurse
agente de viajes departamento de grupos,head of department
becario del departamento de ventas,head of department
jefe de departamento,head of department
jefe de servicio,head of department
jefe departamento recambios,head of department
jefe seccion cardiologia,head of department
jefe seccion charcuteria,head of department
jefe seccion economia,head of department
jefe seccion herramientas,head of department
jefe servicio angiologia cirugia vascular,head of department
jefe servicio cirugia general aparato digestivo,head of department
jefe servicio suministros,head of department
responsable departamento inmobiliario,head of department
responsable dpto recambios,head of department
jefe del equipo de desarrollo,head of sales development
director prensa,head press
jefe ingenieria procesos,head process engineering
jefe desarrollo producto,head product development
jefe contratacion producto,head production
jefe de recambios,head professional service
responsable servicios profesionales,head professional services
servicios profesionales,head professional services
jefe compras almacenes,head purchasing department
jefe del departamento de compras,head purchasing department
responsable de departamento de calidad,head quality control
jefe estudios contratacion,head religious studies
jefe servicio estudios,head student service
jefe equipo sap,head team
administrativo dpto tecnico,head technical department
jefe de departamento tecnico,head technical department
jefe departamento tecnico,head technical department
tecnico departamento comercio exterior,head technical department
tecnico dpto compras,head technical department
jefe de unidad tecnica,head technical service
tecnico servicios centrales,head technical services
tecnico servicios informaticos,head technical services
tecnico servicios juridicos,head technical services
tecnico servicios sociales,head technical services
jefe de unidad de asistencia tecnica,head technical support
jefe equipo formador,head trainer
jefe sala camarero,head waiter
asesor de salud,health advisor
asistente sanitario,health assistant
auxiliar sociosanitario,health care assistant
inspector sanidad vegetal,health inspector
inspector sanitario,health inspector
responsable vigilancia salud,health manager
formador prevencion riesgos laborales,health safety advisor trainer
coordinador seguridad salud laboral,health safety coordinator
coordinador seguridad salud obras,health safety coordinator
director coordinador seguridad salud,health safety coordinator
jefe coordinador seguridad salud,health safety coordinator
responsable seguridad salud medio ambiente,health safety environment
consultor calidad medio ambiente,health safety environmental consultant
responsable medio ambiente prevencion riesgos laborales,health safety environmental manager
responsable seguridad medioambiente,health safety environmental manager
tecnico de calidad de medioambiente,health safety environmental officer
supervisor seguridad salud,health supervisor
visitador,health visitor
visitante,health visitor
tecnico de soporte helpdesk,helpdesk support
soporte tecnico help desk,helpdesk support technician
tecnico soporte help desk,helpdesk support technician
gerente patrimonio,heritage manager
profesor de historia,history teacher
terapeuta medicina natural,holistic therapist
terapeuta medicina tradicional,holistic therapist
auxiliar ayuda domicilio,home carer
jefe sector hogar,home manager
enfermero domicilio,home nurse
enfermero unidad hospitalizacion,hospital manager
gerente de hospital,hospital manager
facultativo farmacia hospitalaria,hospital pharmacist
jefe servicio farmacia hospitalaria,hospital pharmacist
delegado hospitalario,hospital sales representative
delegado ventas hospitales,hospital sales representative
responsable acogida,hospitality manager
director de hotel,hotel manager
empleada hogar,housekeeper
gobernanta,housekeeper
gestor cooperativas viviendas,housing manager
director de recursos humanos,hr director
recursos humanos,human resources
tecnico recursos humanos,human resources
administrativo de recursos humanos,human resources administrative assistant
administrativo laboral,human resources administrative assistant
auxiliar administrativo recursos humanos,human resources administrative assistant
jefe administracion recursos humanos,human resources administrator
responsable recursos humanos administracion,human resources administrator
graduada social,human resources advisor
graduado social,human resources advisor
analista recursos humanos,human resources analyst
asistente recursos humanos,human resources assistant
auxiliar tecnico recursos humanos,human resources assistant
consultor de recursos humanos,human resources consultant
consultor organizacion recursos humanos,human resources consultant
consultor recursos humanos formacion,human resources consultant
encargado recursos humanos,human resources manager
gerente de recursos humanos,human resources manager
gestor recursos humanos,human resources manager
relaciones laborales recursos humanos,human resources manager
responsable area recursos humanos,human resources manager
responsable de administracion de recursos humanos,human resources manager
responsable de recursos humanos,human resources manager
responsable departamento recursos humanos,human resources manager
responsable desarrollo recursos humanos,human resources manager
responsable dpto recursos humanos,human resources manager
responsable gestion recursos humanos,human resources manager
responsable organizacion recursos humanos,human resources manager
tecnico recursos humanos relaciones laborales,human resources manager
tecnico recursos humanos seleccion,human resources manager
tecnico de recursos humanos,human resources officer
tecnico seleccion recursos humanos,human resources officer
